Brand_info,All_vegan,Partial_vegan,Bad_parent_company
"7 Virtues, The – 100% vegan",True,False,False
8 Greens,False,False,False
Adwoa Beauty,False,False,False
Alpyn Beauty,False,False,False
Amika,False,False,False
Anastasia Beverly Hills,False,False,False
Antonym,False,False,False
Aquis,False,False,False
Athr Beauty (formerly Aether Beauty) – 100% vegan,True,False,False
"Aveda 100% vegan – It should be noted that they are cruelty-free, but their parent company is not.",True,False,True
"Balm, The",False,False,False
"bare Minerals (list of bare Minerals vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True
"Beauty Chef, The",False,False,False
beautyblender,False,False,False
Bio Ionic,False,False,False
Biossance – 100% vegan,True,False,False
Bite Beauty – 100% vegan,True,False,False
bkr,False,False,False
Blinc,False,False,False
Boscia,False,False,False
"Burt’s Bees – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
"Buxom – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
Ceremonia – 100% vegan,True,False,False
Charlotte Tilbury (list of Charlotte Tilbury vegan products),False,True,False
Ciaté London,False,False,False
COOLA (list of COOLA vegan products),False,True,False
COVER FX – 100% vegan,True,False,False
Deborah Lippmann,False,False,False
"Dermalogica – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
"DevaCurl – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
"Drunk Elephant – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
DryBar,False,False,False
DUO,False,False,False
"Farmacy – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
FARSÁLI – 100% vegan,True,False,False
Fenty Beauty (list of Fenty Beauty vegan options),False,False,False
Fenty Skin – 100% vegan,True,False,False
Floral Street – 100% vegan,True,False,False
Frank Body,False,False,False
Freck Beauty – 100% vegan,True,False,False
Glow Recipe,False,False,False
Good Dye Young – 100% vegan,True,False,False
GXVE Beauty – 100% vegan,True,False,False
Herbivore – 100% vegan,True,False,False
"Hourglass Cosmetics (list of Hourglass Cosmetics vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True
Huda Beauty,False,False,False
Hum Nutrition,False,False,False
IGK – 100% vegan,True,False,False
Indie Lee,False,False,False
"Inkey List, The",False,False,False
Isle of Paradise – 100% vegan,True,False,False
Josie Maran,False,False,False
Jouer Cosmetics (list of Jouer vegan products),False,True,False
Kitsch – 100% vegan,True,False,False
Koh Gen Do,False,False,False
Kopari – 100% vegan,True,False,False
KORA Organics,False,False,False
KORRES,False,False,False
Kosas,False,False,False
KVD Beauty (formerly Kat Von D Beauty and KVD Vegan Beauty) – 100% vegan,True,False,False
LAVANILA,False,False,False
Lawless,False,False,False
Living Proof,False,False,False
LXMI – 100% vegan,True,False,False
LYS Beauty – 100% vegan,True,False,False
Makeup Eraser – 100% vegan,True,False,False
MERIT – 100% vegan,True,False,False
Milk Makeup – 100% vegan,True,False,False
Moon Juice,False,False,False
"Murad – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
Olaplex – 100% vegan,True,False,False
Ole Henriksen,False,False,False
"Ordinary, The – 100% vegan It should be noted that they are cruelty-free, but their parent company is not.",True,False,True
"Oribe – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
"OUAI – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
"Paula’s Choice – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
Peace Out,False,False,False
Perfekt,False,False,False
Perricone MD,False,False,False
Pixi Beauty,False,False,False
"Pureology – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
Reverie – 100% vegan,True,False,False
rms beauty,False,False,False
Rosebud Perfume Co.,False,False,False
Skylar – 100% vegan,True,False,False
"Smashbox (list of Smashbox vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True
"Sol de Janeiro (list of Sol de Janeiro vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True
Stila,False,False,False
Sunday Riley,False,False,False
T3,False,False,False
"Tarte (list of Tarte vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True
Tata Harper (list of Tata Harper vegan products),False,True,False
"Tatcha – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
"Too Faced (list of Too Faced vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True
Tower 28 – 100% vegan,True,False,False
"Urban Decay (list of Urban Decay vegan products) – It should be noted that they are cruelty-free, but their parent company is not.",False,True,True
Volition Beauty,False,False,False
Wander Beauty,False,False,False
Wishful Skincare,False,False,False
"Youth to the People – 100% vegan It should be noted that they are cruelty-free, but their parent company is not.",True,False,True
Zoeva,False,False,False
"7 Virtues, The – 100% vegan",True,False,False
Floral Street – 100% vegan,True,False,False
KVD Beauty – 100% vegan,True,False,False
Skylar – 100% vegan,True,False,False
"Sol de Janeiro – It should be noted that they are cruelty-free, but their parent company is not.",False,False,True
Benefit Cosmetics,False,False,False
Bobbi Brown,False,False,False
Caudalie,False,False,False
Chanel,False,False,False
Clarins,False,False,False
Clinique,False,False,False
Dior,False,False,False
Estee Lauder,False,False,False
First Aid Beauty,False,False,False
Glamglow,False,False,False
Gucci,False,False,False
Kiehl’s,False,False,False
L’Occitane,False,False,False
La Mer,False,False,False
Laura Mercier,False,False,False
Makeup Forever,False,False,False
Marc Jacobs Fragrances,False,False,False
NARS,False,False,False
Nudestix,False,False,False
Origins,False,False,False
Philosophy,False,False,False
Sephora Collection,False,False,False
